CHEM_ID	LIB_ID	COMP_ID	CHRO_LIB_ENTRY_ID	SUPER_PATHWAY	SUB_PATHWAY	PATHWAY_SORTORDER	TYPE	INCHIKEY	SMILES	CHEMICAL_NAME	PLOT_NAME	LIPID SPECIES LEVEL	LIPID MOLECULAR SPECIES LEVEL	LIPID SN POSITION LEVEL	CAS	CHEMSPIDER	HMDB	KEGG	PUBCHEM	PLATFORM
50	400	485	155305	Amino Acid	Polyamine Metabolism	554	NAMED	ATHGHQPFGPMSJY-UHFFFAOYSA-N	NCCCCNCCCN	spermidine	spermidine				124-20-9	1071	HMDB0001257	C00315	1102	Pos Early
55	400	27665	155829	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	4349	NAMED	LDHMAVIPBRSVRG-UHFFFAOYSA-N	C[N+]1=CC(C([NH-])=O)=CC=C1	1-methylnicotinamide	1-methylnicotinamide				1005-24-9	8305504	HMDB0000699	C02918	457	Pos Early
62	209	38395	143675	Lipid	"Fatty Acid, Dihydroxy"	2053	NAMED	CQSLTKIXAJTQGA-FLIBITNWSA-N	CCCCCC(C(C/C=C\CCCCCCCC(O)=O)O)O	"12,13-DiHOME"	"12,13-DiHOME"				263399-35-5	8412123	HMDB0004705	C14829	10236635	Neg
93	305	528	146398	Energy	TCA Cycle	1464	NAMED	KPGXRSRHYNQIFN-UHFFFAOYSA-N	O=C(C(O)=O)CCC(O)=O	alpha-ketoglutarate	alpha-ketoglutarate				"328-50-7,22202-68-2,305-72-6"	50	HMDB0000208	C00026	51	Polar
98	209	1417	124553	Amino Acid	Tryptophan Metabolism	278	NAMED	HCZHHEIFKROPDY-UHFFFAOYSA-N	OC1=C(C=CC=C2)C2=NC(C(O)=O)=C1	kynurenate	kynurenate				492-27-3	3712	HMDB0000715	C01717	3845	Neg
111	305	1549	147711	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	434	NAMED	DBXBTMSZEOQQDU-UHFFFAOYSA-N	CC(C(O)=O)CO	3-hydroxyisobutyrate	3-hydroxyisobutyrate				2068-83-9	10140307	"HMDB0000023,HMDB0000336"	"C01188,C06001"	11966314	Polar
112	305	531	146400	Lipid	Mevalonate Metabolism	3203	NAMED	NPOAOTPXWNWTSH-UHFFFAOYSA-N	CC(CC(O)=O)(CC(O)=O)O	3-hydroxy-3-methylglutarate	3-hydroxy-3-methylglutarate				503-49-1	4573695	HMDB0000355	C03761	"1662,5459993"	Polar
132	209	1414	124549	Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	1255	NAMED	OSJPPGNTCRNQQC-UHFFFAOYSA-N	OC(C(O)=O)COP(O)(O)=O	3-phosphoglycerate	3-phosphoglycerate				80731-10-8	10669764	HMDB0000807	C00597	724	Neg
133	400	543	155317	Amino Acid	"Glycine, Serine and Threonine Metabolism"	15	NAMED	BZQFBWGGLXLEPQ-UHFFFAOYSA-N	NC(C(O)=O)COP(O)(O)=O	3-phosphoserine	3-phosphoserine				407-41-0	19969944	"HMDB0001721,HMDB0000272"	"C01005,C02532"	68841	Pos Early
136	209	22842	124689	Lipid	Primary Bile Acid Metabolism	3485	NAMED	BHQCQFFYRZLCQQ-OLRQUHAPSA-N	O[C@H]1[C@@]2([H])[C@]3([H])CC[C@H]([C@H](C)CCC(O)=O)[C@@]3(C)[C@@H](O)C[C@]2([H])[C@@]4(C)CC[C@@H](O)CC4C1	cholate	cholate				81-25-4		HMDB0000619	C00695	221493	Neg
