CHEM_ID	LIB_ID	COMP_ID	CHRO_LIB_ENTRY_ID	SUPER_PATHWAY	SUB_PATHWAY	PATHWAY_SORTORDER	TYPE	INCHIKEY	SMILES	CHEMICAL_NAME	PLOT_NAME	CAS	CHEMSPIDER	HMDB	KEGG	PUBCHEM	PLATFORM
50	400	485	155305	Amino Acid	Polyamine Metabolism	553	NAMED	ATHGHQPFGPMSJY-UHFFFAOYSA-N	NCCCCNCCCN	spermidine	spermidine	124-20-9	1071	HMDB0001257	C00315	1102	Pos Early
55	400	27665	155829	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	4343	NAMED	LDHMAVIPBRSVRG-UHFFFAOYSA-N	C[N+]1=CC(C([NH-])=O)=CC=C1	1-methylnicotinamide	1-methylnicotinamide	1005-24-9	8305504	HMDB0000699	C02918	457	Pos Early
62	209	38395	143675	Lipid	Fatty Acid, Dihydroxy	2052	NAMED	CQSLTKIXAJTQGA-FLIBITNWSA-N	CCCCCC(C(C/C=C\CCCCCCCC(O)=O)O)O	12,13-DiHOME	12,13-DiHOME	263399-35-5	8412123	HMDB0004705	C14829	10236635	Neg
93	305	528	146398	Energy	TCA Cycle	1463	NAMED	KPGXRSRHYNQIFN-UHFFFAOYSA-N	O=C(C(O)=O)CCC(O)=O	alpha-ketoglutarate	alpha-ketoglutarate	328-50-7,22202-68-2,305-72-6	50	HMDB0000208	C00026	51	Polar
98	209	1417	124553	Amino Acid	Tryptophan Metabolism	277	NAMED	HCZHHEIFKROPDY-UHFFFAOYSA-N	OC1=C(C=CC=C2)C2=NC(C(O)=O)=C1	kynurenate	kynurenate	492-27-3	3712	HMDB0000715	C01717	3845	Neg
111	305	1549	147711	Amino Acid	Leucine, Isoleucine and Valine Metabolism	433	NAMED	DBXBTMSZEOQQDU-UHFFFAOYSA-N	CC(C(O)=O)CO	3-hydroxyisobutyrate	3-hydroxyisobutyrate	2068-83-9	10140307	HMDB0000023,HMDB0000336	C01188,C06001	11966314	Polar
112	305	531	146400	Lipid	Mevalonate Metabolism	3201	NAMED	NPOAOTPXWNWTSH-UHFFFAOYSA-N	CC(CC(O)=O)(CC(O)=O)O	3-hydroxy-3-methylglutarate	3-hydroxy-3-methylglutarate	503-49-1	4573695	HMDB0000355	C03761	1662,5459993	Polar
132	209	1414	124549	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	1254	NAMED	OSJPPGNTCRNQQC-UHFFFAOYSA-N	OC(C(O)=O)COP(O)(O)=O	3-phosphoglycerate	3-phosphoglycerate	80731-10-8	10669764	HMDB0000807	C00597	724	Neg
133	400	543	155317	Amino Acid	Glycine, Serine and Threonine Metabolism	15	NAMED	BZQFBWGGLXLEPQ-UHFFFAOYSA-N	NC(C(O)=O)COP(O)(O)=O	3-phosphoserine	3-phosphoserine	407-41-0	19969944	HMDB0001721,HMDB0000272	C01005,C02532	68841	Pos Early
136	209	22842	124689	Lipid	Primary Bile Acid Metabolism	3479	NAMED	BHQCQFFYRZLCQQ-OLRQUHAPSA-N	O[C@H]1[C@@]2([H])[C@]3([H])CC[C@H]([C@H](C)CCC(O)=O)[C@@]3(C)[C@@H](O)C[C@]2([H])[C@@]4(C)CC[C@@H](O)CC4C1	cholate	cholate	81-25-4		HMDB0000619	C00695	221493	Neg
172	400	32352	155912	Nucleotide	Purine Metabolism, Guanine containing	4210	NAMED	UYTPUPDQBNUYGX-UHFFFAOYSA-N	NC(N1)=NC2=C(NC=N2)C1=O	guanine	guanine	73-40-5	744	HMDB0000132	C00242	135398634	Pos Early
179	209	38399	143740	Lipid	Fatty Acid, Dihydroxy	2053	NAMED	XEBKSQSGNGRGDW-YFHOEESVSA-N	CCCCC/C=C\CC(C(CCCCCCCC(O)=O)O)O	9,10-DiHOME	9,10-DiHOME	263399-34-4	8142232	HMDB0004704	C14828	9966640	Neg
180	209	1105	125969	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1589	NAMED	OYHQOLUKZRVURQ-HZJYTTRNSA-N	OC(CCCCCCC/C=C\C/C=C\CCCCC)=O	linoleate (18:2n6)	linoleate (18:2n6)	60-33-3	4444105	HMDB0006270,HMDB0000673	C01595	5280450	Neg
181	209	1645	125740	Lipid	Medium Chain Fatty Acid	1524	NAMED	POULHZVOKOAJMA-UHFFFAOYSA-N	O=C(O)CCCCCCCCCCC	laurate (12:0)	laurate (12:0)	143-07-7	3756	HMDB0000638	C02679	3893	Neg
182	305	1899	146452	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	4327	NAMED	GJAWHXHKYYXBSV-UHFFFAOYSA-N	OC(C(C=CC=N1)=C1C(O)=O)=O	quinolinate	quinolinate	89-00-9	1037	HMDB0000232	C03722	1066	Polar
186	400	64334	237352	Amino Acid	Tryptophan Metabolism	271	NAMED	BYHJHXPTQMMKCA-UHFFFAOYSA-N	NC(C(O)=O)CC(C1=CC=CC=C1NC=O)=O	N-formylkynurenine	N-formylkynurenine	1022-31-7	886	HMDB01200	C15605,C02406,C02700	910	Pos Early
187	400	57689	213105	Amino Acid	Polyamine Metabolism	554	NAMED	MQTAVJHICJWXBR-UHFFFAOYSA-N	CC(NCCCNCCCCN)=O	N('1)-acetylspermidine	N('1)-acetylspermidine	14278-49-0	482	HMDB0001276	C00612	496	Pos Early
189	400	1498	155380	Amino Acid	Lysine Metabolism	118	NAMED	MXNRLFUSFKVQSK-UHFFFAOYSA-N	C[N+](C)(CCCCC(C([O-])=O)N)C	N6,N6,N6-trimethyllysine	N6,N6,N6-trimethyllysine	23284-33-5	140379	HMDB0001325	C03793	440120	Pos Early
192	400	37496	156406	Amino Acid	Polyamine Metabolism	546	NAMED	KLZGKIDSEJWEDW-UHFFFAOYSA-N	CC(NCCCCN)=O	N-acetylputrescine	N-acetylputrescine	18233-70-0	109095	HMDB0002064	C02714	122356	Pos Early
194	209	2829	124831	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	443	NAMED	PYUSHNKNPOHWEZ-UHFFFAOYSA-N	CSCCC(C(O)=O)NC=O	N-formylmethionine	N-formylmethionine	4289-98-9	388809	HMDB0001015	C03145	439750	Neg
197	209	42382	124939	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	452	NAMED	ZJUKTBDSGOFHSH-UHFFFAOYSA-N	OC1C(N2C=NC3=C2N=CN=C3N)OC(CSCCC(N)C(O)=O)C1O	S-adenosylhomocysteine (SAH)	S-adenosylhomocysteine (SAH)	979-92-0	16788012	HMDB0000939	C00021	439155	Neg
207	209	2831	123233	Nucleotide	Purine Metabolism, Adenine containing	4169	NAMED	IVOMOUWHDPKRLL-UHFFFAOYSA-N	NC1=NC=NC2=C1N=CN2C3OC(CO4)C(OP4(O)=O)C3O	adenosine 3',5'-cyclic monophosphate (cAMP)	adenosine 3',5'-cyclic monophosphate (cAMP)	60-92-4	268	HMDB0000058	C00575	6076	Neg
209	209	32342	123327	Nucleotide	Purine Metabolism, Adenine containing	4166	NAMED	UDMBCSSLTHHNCD-UHFFFAOYSA-N	NC1=NC=NC2=C1N=CN2C3OC(C(C3O)O)COP(O)(O)=O	adenosine 5'-monophosphate (AMP)	AMP	149022-20-8	10239183	HMDB0000045	C00020	6083	Neg
212	400	1419	155365	Amino Acid	Polyamine Metabolism	564	NAMED	WUUGFSXJNOTRMR-IOSLPCCCSA-N	NC1=NC=NC2=C1N=CN2[C@H]3[C@H](O)[C@H](O)[C@@H](CSC)O3	5-methylthioadenosine (MTA)	5-methylthioadenosine (MTA)	2457-80-9	388321	HMDB0001173	C00170	439176	Pos Early
213	400	37114	156329	Nucleotide	Purine Metabolism, Adenine containing	4181	NAMED	VQAYFKKCNSOZKM-UHFFFAOYSA-N	OC(C1O)C(OC1CO)N(C=N2)C3=C2C(NC)=NC=N3	N6-methyladenosine	N6-methyladenosine	1867-73-8	92307	HMDB0004044		102175	Pos Early
216	209	38325	141860	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	4141	NAMED	NOTGFIUVDGNKRI-UHFFFAOYSA-N	NC(C1=C(N(C2OC(C(C2O)O)COP(O)(O)=O)C=N1)N)=O	AICA ribonucleotide	AICA ribonucleotide	3031-94-5	195	HMDB0001517	C04677	65110	Neg
229	209	1110	125971	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1595	NAMED	YZXBAPSDXZZRGB-DOFZRALJSA-N	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(O)=O	arachidonate (20:4n6)	arachidonate (20:4n6)	506-32-1	392692	HMDB0001043	C00219	444899	Neg
231	400	1638	155435	Amino Acid	Urea cycle; Arginine and Proline Metabolism	490	NAMED	ODKSFYDXXFIFQN-UHFFFAOYSA-N	N=C(N)NCCCC(N)C(O)=O	arginine	arginine	1119-34-2	227	HMDB0000517	C00062	6322	Pos Early
